iter	Passed	Remaining
0	139	139074
1	139	69822
2	140	46721
3	141	35164
4	141	28240
5	142	23617
6	143	20313
7	143	17836
8	144	15907
9	145	14366
10	145	13105
11	146	12054
12	147	11164
13	147	10408
14	148	9756
15	149	9172
16	149	8660
17	150	8228
18	151	7827
19	152	7462
20	152	7131
21	153	6829
22	154	6550
23	154	6293
24	155	6057
25	155	5839
26	156	5639
27	157	5452
28	157	5277
29	158	5114
30	158	4962
31	159	4819
32	159	4685
33	160	4559
34	161	4440
35	161	4328
36	162	4221
37	162	4123
38	163	4029
39	164	3948
40	165	3863
41	165	3782
42	166	3703
43	166	3627
44	167	3555
45	168	3486
46	168	3419
47	169	3356
48	169	3295
49	170	3236
50	170	3180
51	171	3126
52	172	3074
53	172	3023
54	173	2975
55	173	2929
56	174	2884
57	174	2840
58	175	2798
59	176	2758
60	176	2718
61	177	2684
62	178	2650
63	178	2615
64	179	2580
65	180	2548
66	180	2516
67	181	2484
68	181	2453
69	182	2423
70	182	2394
71	183	2365
72	184	2337
73	184	2311
74	185	2284
75	185	2259
76	186	2236
77	187	2211
78	187	2188
79	188	2164
80	188	2142
81	189	2119
82	189	2095
83	190	2074
84	190	2053
85	191	2035
86	192	2016
87	192	1996
88	193	1978
89	193	1960
90	194	1942
91	194	1924
92	195	1907
93	196	1890
94	196	1874
95	197	1858
96	197	1842
97	198	1827
98	199	1811
99	199	1796
100	200	1781
101	200	1767
102	201	1753
103	201	1739
104	202	1725
105	203	1712
106	203	1699
107	204	1686
108	204	1674
109	205	1662
110	206	1651
111	206	1639
112	207	1627
113	207	1615
114	208	1604
115	208	1592
116	209	1580
117	209	1569
118	210	1558
119	211	1548
120	211	1537
121	212	1526
122	212	1517
123	213	1507
124	213	1497
125	214	1488
126	215	1478
127	215	1469
128	216	1459
129	216	1450
130	217	1441
131	217	1432
132	218	1423
133	218	1414
134	219	1407
135	220	1399
136	220	1391
137	221	1383
138	222	1376
139	222	1368
140	223	1360
141	223	1351
142	224	1344
143	224	1336
144	225	1329
145	225	1321
146	226	1314
147	227	1307
148	227	1300
149	228	1293
150	228	1286
151	229	1279
152	229	1273
153	230	1266
154	231	1259
155	231	1253
156	232	1247
157	232	1241
158	233	1236
159	234	1229
160	234	1222
161	235	1216
162	235	1210
163	236	1205
164	237	1200
165	237	1194
166	238	1189
167	239	1183
168	239	1178
169	240	1172
170	240	1167
171	241	1162
172	241	1156
173	242	1151
174	243	1145
175	243	1140
176	244	1135
177	244	1130
178	245	1124
179	245	1119
180	246	1114
181	246	1109
182	247	1105
183	248	1101
184	248	1096
185	249	1092
186	250	1088
187	250	1084
188	251	1079
189	252	1075
190	252	1071
191	253	1067
192	254	1062
193	254	1058
194	255	1054
195	256	1050
196	256	1045
197	257	1041
198	257	1037
199	258	1033
200	258	1029
201	259	1025
202	260	1021
203	261	1018
204	261	1015
205	262	1011
206	263	1007
207	263	1003
208	264	1000
209	264	996
210	265	993
211	266	989
212	266	985
213	267	982
214	268	979
215	268	976
216	269	972
217	270	969
218	270	965
219	271	962
220	272	958
221	272	955
222	273	952
223	273	948
224	274	945
225	275	942
226	275	939
227	276	935
228	277	932
229	277	929
230	278	926
231	278	923
232	279	920
233	280	917
234	281	914
235	281	912
236	282	909
237	283	906
238	283	903
239	284	900
240	285	897
241	285	895
242	286	892
243	286	889
244	287	886
245	288	883
246	288	881
247	289	878
248	290	875
249	290	872
250	291	869
251	292	866
252	292	864
253	293	861
254	293	858
255	294	855
256	295	853
257	295	850
258	296	848
259	297	845
260	297	843
261	298	840
262	299	838
263	299	835
264	300	833
265	301	830
266	301	828
267	302	826
268	303	824
269	303	821
270	304	819
271	305	816
272	305	814
273	306	811
274	306	809
275	307	807
276	308	804
277	309	802
278	309	800
279	310	798
280	311	796
281	311	793
282	312	792
283	313	789
284	313	787
285	314	785
286	315	783
287	315	780
288	316	778
289	317	776
290	317	774
291	318	772
292	319	769
293	319	767
294	320	765
295	320	763
296	321	761
297	322	758
298	322	756
299	323	754
300	324	752
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	733
310	330	731
311	330	729
312	331	727
313	332	725
314	332	723
315	333	721
316	333	719
317	334	717
318	335	715
319	335	713
320	336	711
321	336	709
322	337	707
323	337	705
324	338	703
325	339	701
326	339	699
327	340	697
328	340	695
329	341	693
330	341	691
331	342	689
332	343	687
333	343	685
334	344	683
335	345	681
336	345	680
337	346	678
338	346	676
339	347	674
340	348	672
341	348	670
342	349	668
343	349	667
344	350	665
345	350	663
346	351	661
347	352	659
348	352	657
349	353	656
350	354	654
351	354	652
352	355	650
353	355	649
354	356	647
355	356	645
356	357	644
357	358	642
358	358	640
359	359	638
360	359	637
361	360	635
362	361	633
363	361	631
364	362	630
365	362	628
366	363	626
367	363	625
368	364	623
369	365	621
370	365	619
371	366	618
372	366	616
373	367	614
374	367	613
375	368	611
376	369	609
377	369	608
378	370	606
379	370	605
380	371	603
381	372	602
382	372	600
383	373	599
384	374	597
385	374	596
386	375	594
387	376	593
388	376	591
389	377	590
390	377	588
